variety_id,variety_slug,category,label,url,type
75,cilantro,herb,Johnny's Selected Seeds,https://www.johnnyseeds.com/vegetables/microgreens/microgreen-herbs/cilantro-microgreen-seed-919M.html,breeder
75,cilantro,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/169997/nutrients,usda
76,gourmet-gold-dill,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/172233/nutrients,usda
77,pesto-perpetuo-basil,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/172232/nutrients,usda
78,chocolate-mint,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/173474/nutrients,usda
79,fernleaf-dill,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/172233/nutrients,usda
80,purple-ruffles-basil,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/172232/nutrients,usda
81,italian-large-leaf-basil,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/172232/nutrients,usda
82,french-tarragon,herb,NC State Extension,https://plants.ces.ncsu.edu/plants/artemisia-dracunculus/,extension
82,french-tarragon,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/170937/nutrients,usda
83,spicy-globe-basil,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/172232/nutrients,usda
84,silver-thyme,herb,NC State Extension,https://plants.ces.ncsu.edu/plants/eucalyptus/,extension
84,silver-thyme,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/173470/nutrients,usda
85,lemon-balm,herb,NC State Extension,https://plants.ces.ncsu.edu/plants/melissa-officinalis/,extension
85,lemon-balm,herb,Johnny's Selected Seeds,https://www.johnnyseeds.com/herbs/lemon-balm/lemon-balm-herb-seed-766.html,breeder
85,lemon-balm,herb,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/167747/nutrients,usda
86,cherokee-trail-of-tears,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
87,blue-lake-bush-274,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
88,kentucky-wonder-pole,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
89,provider-bush,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
90,dragon-tongue,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
91,scarlet-runner-bean,bean,NC State Extension,https://plants.ces.ncsu.edu/plants/phaseolus-coccineus/,extension
91,scarlet-runner-bean,bean,Johnny's Selected Seeds,https://www.johnnyseeds.com/flowers/scarlet-runner-bean/scarlet-runner-bean-flower-seed-1000.html,breeder
91,scarlet-runner-bean,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
92,romano-italian-bush-bean,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
93,fortex-pole-bean,bean,USDA FoodData Central,https://fdc.nal.usda.gov/food-details/2346400/nutrients,usda
